HGNC ID	Approved symbol	Alias symbols	UniProt ID(supplied by UniProt)	OMIM ID(supplied by OMIM)	NCBI Gene ID(supplied by NCBI)	Ensembl ID(supplied by Ensembl)
HGNC:1	A12M1					
HGNC:10	A2MRAP					
HGNC:100	ASIC1	BNaC2, hBNaC2	P78348	602866	41	ENSG00000110881
HGNC:1000	BCL5					
HGNC:10000	RGS4		P49798	602516	5999	ENSG00000117152
HGNC:10001	RGS5		O15539	603276	8490	ENSG00000143248
HGNC:10002	RGS6		P49758	603894	9628	ENSG00000182732
HGNC:10003	RGS7		P49802	602517	6000	ENSG00000182901
HGNC:10004	RGS9	PERRS, RGS9L, MGC26458, MGC111763	O75916	604067	8787	ENSG00000108370
HGNC:10005	RH					
HGNC:10006	RHAG	RH50A, CD241, SLC42A1	Q02094	180297	6005	ENSG00000112077
HGNC:10007	RHBDL1	RRP	O75783	603264	9028	ENSG00000103269
HGNC:10008	RHCE	CD240CE	P18577	111700	6006	ENSG00000188672
HGNC:10009	RHD	Rh30a, Rh4, RhPI, RhII, DIIIc, CD240D	Q02161	111680	6007	ENSG00000187010
HGNC:1001	BCL6	ZBTB27, LAZ3, BCL5, BCL6A	P41182	109565	604	ENSG00000113916
HGNC:10010	RHEBP1	RHEB			6008	ENSG00000229927
HGNC:10011	RHEB		Q15382	601293	6009	ENSG00000106615
HGNC:10012	RHO	OPN2, CSNBAD1	P08100	180380	6010	ENSG00000163914
HGNC:10013	GRK1	GPRK1, RK	Q15835	180381	6011	ENSG00000185974
HGNC:10014	RIEG1					
HGNC:10015	RIEG2	ARS				
HGNC:10016	RIMKLP					
HGNC:10017	RIT2	RIBA	Q99578	609592	6014	ENSG00000152214
HGNC:10018	RING1	RNF1	Q06587	602045	6015	ENSG00000204227
HGNC:10019	RIPK1	RIP	Q13546	603453	8737	ENSG00000137275
HGNC:1002	BCL6B	ZBTB28, BAZF	Q8N143	608992	255877	ENSG00000161940
HGNC:10020	RIPK2	RICK, RIP2, CARDIAK, CARD3	O43353	603455	8767	ENSG00000104312
HGNC:10021	RIPK3	RIP3	Q9Y572	605817	11035	ENSG00000129465
HGNC:10022	RIR					
HGNC:10023	RIT1	RIBB, ROC1, MGC125864, MGC125865	Q92963	609591	6016	ENSG00000143622
HGNC:10024	RLBP1	CRALBP	P12271	180090	6017	ENSG00000140522
HGNC:10025	RLF	ZNF292L, Zn-15L	Q13129	180610	6018	ENSG00000117000
HGNC:10026	RLN1	H1	P04808	179730	6013	ENSG00000107018
HGNC:10027	RLN2	H2, RLXH2, bA12D24.1.1, bA12D24.1.2	P04090	179740	6019	ENSG00000107014
HGNC:10028	RLNL					
HGNC:10029	RMCH					
HGNC:1003	BCL7					
HGNC:10030	RMD1					
HGNC:10031	RMRP	RMRPR, RRP2, NME1		157660	6023	
HGNC:10032	RMSA1					
HGNC:10033	RN5S					
HGNC:10034	RN5S1@					
HGNC:10035	RN5S2@					
HGNC:10036	RN5S3@					
HGNC:10037	RN7SK	7SK		606515	125050	ENSG00000283293
HGNC:10038	RN7SL1	7SL, 7L1a, RNSRP1		612177	6029	ENSG00000276168
HGNC:10039	RN7SL4P	7L28			6030	ENSG00000263740
HGNC:1004	BCL7A		Q4VC05	601406	605	ENSG00000110987
HGNC:10040	RN7SL5P	7LEM1			6031	ENSG00000265735
HGNC:10041	RN7SL6P	7L7			6032	
HGNC:10042	RN7SL7P	7L23			6033	ENSG00000266794
HGNC:10043	RN7SL8P	7L63			6034	ENSG00000243352
HGNC:10044	RNASE1	RAC1	P07998	180440	6035	ENSG00000129538
HGNC:10045	RNASE2	EDN, RAF3	P10153	131410	6036	ENSG00000169385
HGNC:10046	RNASE3	ECP, RAF1	P12724	131398	6037	ENSG00000169397
HGNC:10047	RNASE4	RAB1	P34096	601030	6038	ENSG00000258818
HGNC:10048	RNASE6	RAD1, RNaseK6	Q93091	601981	6039	ENSG00000169413
HGNC:10049	RNASEH1P1	RNH1			284203	ENSG00000265790
HGNC:1005	BCL7B		Q9BQE9	605846	9275	ENSG00000106635
HGNC:10050	RNASEL		Q05823	180435	6041	ENSG00000135828
HGNC:10051	RNASEL1					
HGNC:10052	RNE1					
HGNC:10053	RNE2					
HGNC:10054	RNE3					
HGNC:10055	RNF10	KIAA0262, RIE2	Q8N5U6	615998	9921	ENSG00000022840
HGNC:10056	RNF11	CGI-123, Sid1669p, MGC51169	Q9Y3C5	612598	26994	ENSG00000123091
HGNC:10057	RNF13	RZF	O43567	609247	11342	ENSG00000082996
HGNC:10058	RNF14	ARA54, HFB30, TRIAD2	Q9UBS8	605675	9604	ENSG00000013561
HGNC:10059	TRIM38	RORET	O00635		10475	ENSG00000112343
HGNC:1006	BCL7C		Q8WUZ0	605847	9274	ENSG00000099385
HGNC:10060	RNF17	Mmip-2, SPATA23, FLJ11045	Q9BXT8	605793	56163	ENSG00000132972
HGNC:10061	RNF2	BAP-1, BAP1, DING, HIPI3, RING1B, RING2	Q99496	608985	6045	ENSG00000121481
HGNC:10062	RNF20	FLJ20382, FLJ11189, KAIA2779, BRE1A, hBRE1, BRE1	Q5VTR2	607699	56254	ENSG00000155827
HGNC:10063	TRIM34		Q9BYJ4	605684	53840	ENSG00000258659
HGNC:10064	TRIM3	HAC1, BERP, RNF97	O75382	605493	10612	ENSG00000110171
HGNC:10065	TRIM39		Q9HCM9	605700	56658	ENSG00000204599
HGNC:10066	PCGF3	FLJ36550, DONG1, RNF3A, MGC40413	Q3KNV8	617543	10336	ENSG00000185619
HGNC:10067	RNF4	RES4-26, SNURF, SLX5	P78317	602850	6047	ENSG00000063978
HGNC:10068	RNF5	NG2, G16, RING5, RMA1	Q99942	602677	6048	ENSG00000204308
HGNC:10069	RNF6	DKFZp686P0776	Q9Y252	604242	6049	ENSG00000127870
HGNC:1007	NBEAP1	BCL8A	P0C6P0	601889	606	ENSG00000258590
HGNC:10070	RNF7	SAG, ROC2, CKBBP1	Q9UBF6	603863	9616	ENSG00000114125
HGNC:10071	RNF8	KIAA0646	O76064	611685	9025	ENSG00000112130
HGNC:10072	TRIM10	RFB30, HERF1	Q9UDY6	605701	10107	ENSG00000204613
HGNC:10073	RNGTT	HCE, HCE1, hCAP	O60942	603512	8732	ENSG00000111880
HGNC:10074	RNH1	RAI	P13489	173320	6050	ENSG00000023191
HGNC:10075	RNMT	RG7MT1	O43148	603514	8731	ENSG00000101654
HGNC:10076	RNN					
HGNC:10077	RNNL					
HGNC:10078	RNPEP	APB	Q9H4A4	602675	6051	ENSG00000176393
HGNC:10079	RNPEPL1		Q9HAU8	605287	57140	ENSG00000142327
HGNC:1008	BCL9		O00512	602597	607	ENSG00000116128
HGNC:10080	RNPS1		Q15287	606447	10921	ENSG00000205937
HGNC:10081	RNPU1Z					
HGNC:10082	RNR1			180450	6052	
HGNC:10083	RNR2			180451	6053	
HGNC:10084	RNR3			180452	6054	
HGNC:10085	RNR4			180453	6055	
HGNC:10086	RNR5			180454	6056	
HGNC:10087	RNRP1					
HGNC:10088	RNRP2					
HGNC:10089	RNS1					
HGNC:1009	BCMA					
HGNC:10090	RNS2					
HGNC:10091	RNS3					
HGNC:10092	RNS4					
HGNC:10093	RNS4I					
HGNC:10094	RNS6					
HGNC:10095	RNU1					
HGNC:10096	SNORD80	Z15, U80			26774	
HGNC:10097	SNORD4A	Z17A, mgh18S-121			26773	ENSG00000238578
HGNC:10098	SNORD4B	Z17B			26772	ENSG00000238597
HGNC:10099	SNORD102	U102			26771	ENSG00000207500
HGNC:101	ASIC3	TNaC1, DRASIC	Q9UHC3	611741	9311	ENSG00000213199
HGNC:1010	BCNG1					
HGNC:10100	SNORD79	Z22, U79			26770	
HGNC:10101	SNORD81	Z23, U81			26769	
HGNC:10102	RNU105A	E1c				
HGNC:10103	RNU105B	E1-2			26767	ENSG00000201348
HGNC:10104	RNU105C	E1-5, E1-6, U105C			26766	ENSG00000199212
HGNC:10105	SNORD12C	U106			26765	ENSG00000209042
HGNC:10106	SNORA63	E3, E3-2, SNORA63A		180647	6043	ENSG00000200320
HGNC:10107	SNORA62	E2, E2-1		180646	6044	ENSG00000202363
HGNC:10108	RNU11	U11, RNU11-1			26824	ENSG00000274978
HGNC:10109	RNU12-2P	U12			26823	ENSG00000201659
HGNC:1011	BCNG2					
HGNC:10110	SNORD13P1	U13, U13.32A			6076	ENSG00000238498
HGNC:10111	SNORD13P2	U13, U13.12A			6077	
HGNC:10112	SNORD13P3	U13, U13.4B			6078	ENSG00000239128
HGNC:10113	SNORD14A	U14, RNU14A			26822	ENSG00000272034
HGNC:10114	SNORD15A	U15A		600455	6079	ENSG00000206941
HGNC:10115	SNORA73A	U17A, E1-7, E1b, E1		180645	6080	ENSG00000274266
HGNC:10116	SNORA73B	U17B, E1c		603239	26768	ENSG00000200087
HGNC:10117	RNU17C	U17				
HGNC:10118	SNHG3	U17HG, U17HG-A, NCRNA00014		603238	8420	ENSG00000242125
HGNC:10119	SNORA74A	U19			26821	ENSG00000200959
HGNC:1012	OPN1SW	BOP, CBT	P03999	613522	611	ENSG00000128617
HGNC:10120	RNU1-1	Rnu1a1, U1, HU1-1, U1A1, HSD1			26871	ENSG00000206652
HGNC:10121	RNU1A3	U1A1, HSD1				
HGNC:10123	RNU1-2	U1C1, U1C21			26870	ENSG00000207005
HGNC:10124	RNU1C2	U1C21				
HGNC:10125	RNU1D2	U1D2, HSD5, U1B2				
HGNC:10126	RNU1E2	U1E2				
HGNC:10127	RNU1F1	U1F, HSD7				
HGNC:10128	RNU1-4	HSD6, U1E2, HSD2, U1D2, HSD5, U1B2, U1F, HSD7		180680	6060	ENSG00000207389
HGNC:10129	RNU1G2	HSD2, U1D2, HSD5, U1B2				
HGNC:1013	BCPM					
HGNC:10130	RNU1-3	HSD4			26869	ENSG00000207513
HGNC:10131	RNU1G4	U1, HU1-1				
HGNC:10132	RNU1P1	U1P101, U1P15, U1.15				
HGNC:10133	RNVU1-1	vU1.1, U1P14, U1.4, vU1.10, RNU1-53			101954273	ENSG00000207340
HGNC:10134	RNVU1-11	vU1.11, U1P2A				
HGNC:10135	RNU1P3					
HGNC:10136	RNU1P4					
HGNC:10137	RNU1-11P	U1P1A, RNU1P1			26861	ENSG00000206702
HGNC:10138	RNU1-13P	U1P1, U1.1				
HGNC:10139	RNU1-14P	U1P17			26859	ENSG00000199629
HGNC:1014	BCR	D22S662, CML, PHL, ALL	P11274	151410	613	ENSG00000186716
HGNC:10140	RNU1-15P	U1P11			26858	ENSG00000195024
HGNC:10141	RNU1P9	U1P15, U1.15				
HGNC:10142	RNU2-1	U2		180690	6066	ENSG00000274585
HGNC:10143	SNORD20	U20		604012	6082	ENSG00000207280
HGNC:10144	SNORD21	U21		603635	6083	ENSG00000206680
HGNC:10145	SNORD22	U22		603223	9304	ENSG00000277194
HGNC:10146	SNORD24	U24			26820	ENSG00000206611
HGNC:10147	SNORD25	U25		603224	9303	ENSG00000275043
HGNC:10148	SNORD26	U26		603225	9302	ENSG00000276788
HGNC:10149	SNORD27	U27		603226	9301	ENSG00000275996
HGNC:1015	BCRP2	BCR-2			400892	ENSG00000169668
HGNC:10150	SNORD28	U28, SNORD28A		603227	9300	ENSG00000274544
HGNC:10151	SNORD29	U29		603228	9297	
HGNC:10152	RNU2-2P	U2			26855	ENSG00000222328
HGNC:10153	RNU2-3P	U2			26854	ENSG00000222076
HGNC:10154	RNU2-4P	U2, U2/7			26853	ENSG00000277084
HGNC:10155	RNU2-5P	U2, u2.7			26852	ENSG00000222465
HGNC:10156	RNU3	U3				
HGNC:10157	SNORD30	U30		603229	9299	ENSG00000277846
HGNC:10158	SNORD31	U31, SNORD31A		603230	9298	
HGNC:10159	SNORD32A	U32, U32A			26819	ENSG00000201675
HGNC:1016	BCRP3				644165	ENSG00000215481
HGNC:10160	SNORD33	U33			26818	ENSG00000199631
HGNC:10161	SNORD34	U34			26817	ENSG00000202503
HGNC:10162	SNORD35A	U35, RNU35A			26816	ENSG00000200259
HGNC:10163	SNORD36A	U36a			26815	ENSG00000199744
HGNC:10164	SNORD36B	U36b			26814	ENSG00000200831
HGNC:10165	SNORD36C	U36c			26813	ENSG00000252542
HGNC:10166	SNORD37	U37			26812	ENSG00000206775
HGNC:10167	SNORD39	U39, U55				
HGNC:10168	SNORD3B-1	U3a, U3b1, U3b2			26851	ENSG00000265185
HGNC:10169	RNU3A2	u3				
HGNC:1017	BCRP4	BCR-4			616	ENSG00000215456
HGNC:10170	RNU3A3	U3a				
HGNC:10171	RNU3B1	U3b1				
HGNC:10172	RNU3B2	U3b1				
HGNC:10173	RNU3B3	U3b2				
HGNC:10174	RNU3B4	U3				
HGNC:10175	SNORD3P1	U3			6068	ENSG00000200318
HGNC:10176	SNORD3P2	U3, U3.2				
HGNC:10177	SNORD3P3	U3, U3.5, u3.7			26843	
HGNC:10178	SNORD3P4	U3, U3.6			26842	
HGNC:10179	SNORD41	U41			26810	ENSG00000209702
HGNC:1018	BCRP5				648980	ENSG00000235062
HGNC:10180	SNORD42A	U42			26809	ENSG00000238649
HGNC:10181	SNORD42B	U42B			26808	ENSG00000238423
HGNC:10182	SNORD43	U43		611068	26807	ENSG00000263764
HGNC:10183	SNORD44	U44			26806	
HGNC:10184	SNORD45A	U45a			26805	ENSG00000207241
HGNC:10185	SNORD45B	U45b			26804	ENSG00000201487
HGNC:10186	SNORD46	U46, U40			94161	ENSG00000200913
HGNC:10187	SNORD47	U47			26802	
HGNC:10188	SNORD48	U48			26801	ENSG00000201823
HGNC:10189	SNORD49A	U49, U49A			26800	ENSG00000277370
HGNC:1019	BCRL6					
HGNC:10190	RNU4A	U4				
HGNC:10191	RNU4-1B	U4b, U4A				
HGNC:10192	RNU4-1	U4BL, U4			26835	ENSG00000200795
HGNC:10193	RNU4-2	U4c, U4b, U4A			26834	ENSG00000202538
HGNC:10194	RNU4-7P	U4, U4/7			6069	ENSG00000201628
HGNC:10195	RNU4-8P	U4, U4/14			6070	ENSG00000201806
HGNC:10196	RNU4-3P	U4, U4/4			26841	
HGNC:10197	RNU4-4P	U4, U4/5			26840	ENSG00000201458
HGNC:10198	RNU4-5P	U4, U4/6			26839	ENSG00000272160
HGNC:10199	RNU4-6P	U4, U4/8			26838	ENSG00000222736
HGNC:102	CNNM1		Q9NRU3	607802	26507	ENSG00000119946
HGNC:1020	BCS1L	Hs.6719, BCS, h-BCS, BJS	Q9Y276	603647	617	ENSG00000074582
HGNC:10200	SNORD50A	U50		613117	26799	
HGNC:10201	SNORD51	U51			26798	ENSG00000207047
HGNC:10202	SNORD52	U52			26797	ENSG00000201754
HGNC:10203	SNORD53	U53, SNORD53A			26796	ENSG00000265145
HGNC:10204	SNORD54	U54			26795	ENSG00000238650
HGNC:10205	SNORD55	U55, U39			26811	ENSG00000264294
HGNC:10206	SNORD56	U56			26793	ENSG00000229686
HGNC:10207	SNORD57	U57			26792	ENSG00000226572
HGNC:10208	SNORD58A	U58a			26791	ENSG00000206602
HGNC:10209	SNORD58B	U58b			26790	ENSG00000271982
HGNC:1021	BCUR1					
HGNC:10210	SNORD59A	U59			26789	ENSG00000207031
HGNC:10211	RNU5A-1	U5A, U5B1		180691	26831	ENSG00000199568
HGNC:10212	RNU5B-1	U5B1			26832	ENSG00000200156
HGNC:10213	RNU5C	U5B1				
HGNC:10214	RNU5D-1	U5DS, U5DL			26830	ENSG00000200169
HGNC:10215	RNU5E-1	U5E			26829	ENSG00000199347
HGNC:10216	RNU5F-1				26828	ENSG00000199377
HGNC:10217	SNORD60	U60			26788	ENSG00000206630
HGNC:10218	SNORD61	U61, HBII-342			26787	ENSG00000206979
HGNC:10219	SNORD62A	U62, U62A			26786	ENSG00000235284
HGNC:1022	BCYRN1	BC200, BC200a, NCRNA00004, LINC00004		606089	618	ENSG00000236824
HGNC:10220	SNORD63	U63, SNORD63A			26785	ENSG00000206989
HGNC:10221	SNORA64	U64			26784	ENSG00000207405
HGNC:10222	SNORA65	U65			26783	ENSG00000201302
HGNC:10223	SNORA66	U66			26782	ENSG00000207523
HGNC:10224	SNORA67	U67			26781	ENSG00000277985
HGNC:10225	SNORA68	U68, SNORA68A			26780	ENSG00000207166
HGNC:10226	SNORA69	U69			26779	ENSG00000206622
HGNC:10227	RNU6-1	U6, U6-1		180692	26827	ENSG00000206625
HGNC:10228	RNU6-6P	U6-6			26826	ENSG00000272055
HGNC:10229	RNU6-50P	U6			26825	ENSG00000199226
HGNC:1023	BCYRN1P1	BC200b			619	
HGNC:10230	RNU6V	87U6, LH87			6071	ENSG00000206832
HGNC:10231	SNORA70	U70, DXS648E			26778	ENSG00000207165
HGNC:10232	SNORA71A	U71a			26777	ENSG00000225091
HGNC:10233	SNORA71B	U71b			26776	ENSG00000235408
HGNC:10234	SNORA72	U72			26775	ENSG00000207067
HGNC:10235	SNORD73A	U73a, RNU73A		603568	8944	ENSG00000208797
HGNC:10236	RNU7-68P	HSU7.732A, U7.68			6072	
HGNC:10237	RNU7-86P	HSU7.7/32B			6073	
HGNC:10238	RNU7P3	HSU7.25, U7				
HGNC:10239	RNU7-55P	HSU7.36, U7.55			6075	ENSG00000239078
HGNC:1024	BCYRN1P2	BC200g			620	
HGNC:10240	SNORD82	Z25, U82		611133	25826	ENSG00000202400
HGNC:10241	PHAX	FLJ13193	Q9H814	604924	51808	ENSG00000164902
HGNC:10242	RNY1	hY1		601821	6084	ENSG00000201098
HGNC:10243	RNY3	hY3		601822	6085	ENSG00000202354
HGNC:10244	RNY4	hY4		601823	6086	ENSG00000252316
HGNC:10245	RNY4P1	hY4.B8			6087	
HGNC:10246	RNY4P2	hY4.B7			6088	
HGNC:10247	RNY4P3	hY4.F2			6089	ENSG00000202124
HGNC:10248	RNY5	hY5		601824	6090	
HGNC:10249	ROBO1	DUTT1, FLJ21882, SAX3	Q9Y6N7	602430	6091	ENSG00000169855
HGNC:1025	BDB					
HGNC:10250	ROBO2	KIAA1568	Q9HCK4	602431	6092	ENSG00000185008
HGNC:10251	ROCK1	p160ROCK	Q13464	601702	6093	ENSG00000067900
HGNC:10252	ROCK2		O75116	604002	9475	ENSG00000134318
HGNC:10253	PTBP3	DKFZp781I1117	O95758	607527	9991	ENSG00000119314
HGNC:10254	ROM1	TSPAN23, ROM	Q03395	180721	6094	ENSG00000149489
HGNC:10255	RONU					
HGNC:10256	ROR1		Q01973	602336	4919	ENSG00000185483
HGNC:10257	ROR2		Q01974	602337	4920	ENSG00000169071
HGNC:10258	RORA	RZRA, ROR1, ROR2, ROR3, NR1F1	P35398	600825	6095	ENSG00000069667
HGNC:10259	RORB	RZRB, NR1F2, ROR-BETA	Q92753	601972	6096	ENSG00000198963
HGNC:1026	BDB1					
HGNC:10260	RORC	RZRG, RORG, NR1F3, TOR	P51449	602943	6097	ENSG00000143365
HGNC:10261	ROS1	MCF3, ROS, c-ros-1	P08922	165020	6098	ENSG00000047936
HGNC:10262	RP					
HGNC:10263	RP1	DCDC4A, ORP1	P56715	603937	6101	ENSG00000104237
HGNC:10264	RP10					
HGNC:10265	RP11					
HGNC:10266	RP12					
HGNC:10267	RP13					
HGNC:10268	RP14					
HGNC:10269	RP15					
HGNC:1027	BDH1	SDR9C1	Q02338	603063	622	ENSG00000161267
HGNC:10270	RP16					
HGNC:10271	RP17					
HGNC:10272	RP18					
HGNC:10273	RP19					
HGNC:10274	RP2	TBCCD2, NME10, NM23-H10	O75695	300757	6102	ENSG00000102218
HGNC:10275	RP20					
HGNC:10276	RP22					
HGNC:10277	RP23					
HGNC:10278	RP24					
HGNC:10279	RP25					
HGNC:1028	BDK					
HGNC:10280	RP26					
HGNC:10281	RP28					
HGNC:10282	RP29					
HGNC:10283	RP3					
HGNC:10284	RP4					
HGNC:10285	RP5					
HGNC:10286	RP6					
HGNC:10287	RP7					
HGNC:10288	RP9	PAP-1	Q8TA86	607331	6100	ENSG00000164610
HGNC:10289	RPA1	REPA1, RPA70, HSSB, RF-A, RP-A	P27694	179835	6117	ENSG00000132383
HGNC:1029	BDKRB1	BKR1, B1BKR, bradyb1	P46663	600337	623	ENSG00000100739
HGNC:10290	RPA2		P15927	179836	6118	ENSG00000117748
HGNC:10291	RPA3	REPA3	P35244	179837	6119	ENSG00000106399
HGNC:10292	RPD3L1					
HGNC:10293	RPE		Q96AT9	180480	6120	ENSG00000197713
HGNC:10294	RPE65	LCA2, rd12, BCO3	Q16518	180069	6121	ENSG00000116745
HGNC:10295	RPGR	CORDX1	Q92834	312610	6103	ENSG00000156313
HGNC:10296	RPH3AL	Noc2	Q9UNE2	604881	9501	ENSG00000181031
HGNC:10297	RPIA		P49247	180430	22934	ENSG00000153574
HGNC:10298	RPL10	NOV, QM, DXS648E, DXS648, FLJ23544, L10	P27635	312173	6134	ENSG00000147403
HGNC:10299	RPL10A	Csa-19, L10A	P62906	615660	4736	ENSG00000198755
HGNC:103	CNNM2		Q9H8M5	607803	54805	ENSG00000148842
HGNC:1030	BDKRB2	BK-2	P30411	113503	624	ENSG00000168398
HGNC:10300	RPL10P1				100288252	ENSG00000217026
HGNC:10301	RPL11	L11, uL5	P62913	604175	6135	ENSG00000142676
HGNC:10302	RPL12	L12	P30050	180475	6136	ENSG00000197958
HGNC:10303	RPL13	D16S444E, BBC1, L13	P26373	113703	6137	ENSG00000167526
HGNC:10304	RPL13A	L13A	P40429		23521	ENSG00000142541
HGNC:10305	RPL14	L14, hRL14, RL14, CTG-B33	P50914	617414	9045	ENSG00000188846
HGNC:10306	RPL15	RPL10, RPLY10, RPYL10, EC45, L15	P61313	604174	6138	ENSG00000174748
HGNC:10307	RPL17	rpL23, L17	P18621	603661	6139	ENSG00000265681
HGNC:10308	RPL17L1					
HGNC:10309	RPL17P					
HGNC:1031	BDM					
HGNC:10310	RPL18	L18	Q07020	604179	6141	ENSG00000063177
HGNC:10311	RPL18A	L18A	Q02543	604178	6142	ENSG00000105640
HGNC:10312	RPL19	FLJ27452, MGC71997, DKFZp779D216, L19	P84098	180466	6143	ENSG00000108298
HGNC:10313	RPL21	L21, FLJ27458, MGC71252, MGC104274, MGC104275, DKFZp686C06101	P46778	603636	6144	ENSG00000122026
HGNC:10314	RPL21P1			603416	6145	ENSG00000214760
HGNC:10315	RPL22	EAP, L22	P35268	180474	6146	ENSG00000116251
HGNC:10316	RPL23	rpL17, L23	P62829	603662	9349	ENSG00000125691
HGNC:10317	RPL23A	L23A	P62750	602326	6147	ENSG00000198242
HGNC:10318	RPL23AP1				6148	ENSG00000239257
HGNC:10319	RPL23AP2				401904	ENSG00000225067
HGNC:1032	BDMR					
HGNC:10320	RPL23AP3				8489	ENSG00000214914
HGNC:10321	RPL23AP4				54029	ENSG00000212932
HGNC:10322	MRPL23	L23MRP	Q16540	600789	6150	ENSG00000214026
HGNC:10323	RPL23P1					
HGNC:10324	RPL23P2				54028	ENSG00000176054
HGNC:10325	RPL24	L24	P83731	604180	6152	ENSG00000114391
HGNC:10326	RPL25P1					
HGNC:10327	RPL26	L26	P61254	603704	6154	ENSG00000161970
HGNC:10328	RPL27	L27	P61353	607526	6155	ENSG00000131469
HGNC:10329	RPL27A	L27A	P46776	603637	6157	ENSG00000166441
HGNC:1033	BDNF		P23560	113505	627	ENSG00000176697
HGNC:10330	RPL28	FLJ43307, L28	P46779	603638	6158	ENSG00000108107
HGNC:10331	RPL29	HIP, HUMRPL29, L29	P47914	601832	6159	ENSG00000162244
HGNC:10332	RPL3	L3	P39023	604163	6122	ENSG00000100316
HGNC:10333	RPL30	L30	P62888	180467	6156	ENSG00000156482
HGNC:10334	RPL31	L31	P62899	617415	6160	ENSG00000071082
HGNC:10335	RPL31P1				54027	ENSG00000214326
HGNC:10336	RPL32	L32	P62910		6161	ENSG00000144713
HGNC:10337	RPL32P4				100131339	
HGNC:10338	RPL32P5				23754	
HGNC:10339	RPL32P1	RPL32-L			6163	ENSG00000224796
HGNC:1034	BECN1	ATG6, VPS30	Q14457	604378	8678	ENSG00000126581
HGNC:10340	RPL34	L34	P49207	616862	6164	ENSG00000109475
HGNC:10341	RPL34P1				26514	ENSG00000237049
HGNC:10342	RPL34P2				26513	
HGNC:10343	RPL34P3				54026	ENSG00000223671
HGNC:10344	RPL35	L35	P42766	618315	11224	ENSG00000136942
HGNC:10345	RPL35A	L35A, eL33, GIG33	P18077	180468	6165	ENSG00000182899
HGNC:10346	RPL36AL		Q969Q0	180469	6166	ENSG00000165502
HGNC:10347	RPL37	L37	P61927	604181	6167	ENSG00000145592
HGNC:10348	RPL37A	L37A	P61513	613314	6168	ENSG00000197756
HGNC:10349	RPL38	L38	P63173	604182	6169	ENSG00000172809
HGNC:1035	BEVI					
HGNC:10350	RPL39	L39	P62891	300899	6170	ENSG00000198918
HGNC:10351	RPL3L		Q92901	617416	6123	ENSG00000140986
HGNC:10352	RPL3P1				8488	ENSG00000228149
HGNC:10353	RPL4	L4	P36578	180479	6124	ENSG00000174444
HGNC:10354	RPL41	L41	P62945	613315	6171	ENSG00000229117
HGNC:10355	RPL41P5				6172	ENSG00000256393
HGNC:10356	RPL41P1				22971	ENSG00000227063
HGNC:10357	RPL41P2				22970	ENSG00000256338
HGNC:10358	RPL41P3				22969	
HGNC:10359	RPL36A	L36A	P83881	300902	6173	ENSG00000241343
HGNC:1036	BEX1		Q9HBH7	300690	55859	ENSG00000133169
HGNC:10360	RPL5	L5, PPP1R135, uL18	P46777	603634	6125	ENSG00000122406
HGNC:10361	RPL5P1				647436	ENSG00000241061
HGNC:10362	RPL6	TAXREB107, L6	Q02878	603703	6128	ENSG00000089009
HGNC:10363	RPL7	humL7-1, L7	P18124	604166	6129	ENSG00000147604
HGNC:10364	RPL7A	SURF3, TRUP, L7A	P62424	185640	6130	ENSG00000148303
HGNC:10365	RPL7AL1					
HGNC:10366	RPL7AP1					
HGNC:10367	RPL7P1				6174	ENSG00000214485
HGNC:10368	RPL8	L8	P62917	604177	6132	ENSG00000161016
HGNC:10369	RPL9	L9	P32969	603686	6133	ENSG00000163682
HGNC:1037	CFB	H2-Bf	P00751	138470	629	ENSG00000243649
HGNC:10370	RPL9P1					
HGNC:10371	RPLP0	PRLP0, P0, L10E, RPP0, LP0	P05388	180510	6175	ENSG00000089157
HGNC:10372	RPLP1	LP1	P05386	180520	6176	ENSG00000137818
HGNC:10373	RPLP1L1					
HGNC:10374	RPLP1L2					
HGNC:10375	RPLP1L3					
HGNC:10376	RPLP1L4					
HGNC:10377	RPLP2	P2, RPP2, MGC71408, LP2	P05387	180530	6181	ENSG00000177600
HGNC:10378	MRPL12	MRPL7/L12, MRPL7	P52815	602375	6182	ENSG00000262814
HGNC:10379	MRPL3	MRL3	P09001	607118	11222	ENSG00000114686
HGNC:1038	BFD					
HGNC:10380	MRPS12	RPS12, RPSM12	O15235	603021	6183	ENSG00000128626
HGNC:10381	RPN1	OST1	P04843	180470	6184	ENSG00000163902
HGNC:10382	RPN2	SWP1, RPNII, RIBIIR, RPN-II	P04844	180490	6185	ENSG00000118705
HGNC:10383	RPS10	MGC88819, S10	P46783	603632	6204	ENSG00000124614
HGNC:10384	RPS11	S11	P62280	180471	6205	ENSG00000142534
HGNC:10385	RPS12	S12	P25398	603660	6206	ENSG00000112306
HGNC:10386	RPS13	S13	P62277	180476	6207	ENSG00000110700
HGNC:10387	RPS14	EMTB, S14	P62263	130620	6208	ENSG00000164587
HGNC:10388	RPS15	RIG, MGC111130, S15	P62841	180535	6209	ENSG00000115268
HGNC:10389	RPS15A	S15A	P62244	603674	6210	ENSG00000134419
HGNC:1039	BFLS					
HGNC:10396	RPS16	S16	P62249	603675	6217	ENSG00000105193
HGNC:10397	RPS17	RPS17L1, RPS17L2, MGC72007, S17	P08708	180472	6218	ENSG00000182774
HGNC:10398	RPS17P2				6219	ENSG00000197575
HGNC:10399	RPS17P3				646013	
